Epoch,Collocation Loss,Physics Loss,Total Loss,Alpha
0,0.107188381254673,18007799627776.0,0.2872663736343384,1e-14
1000,0.0005027013830840588,325249597440.0,0.0037551973946392536,1e-14
2000,0.00020015035988762975,99158368256.0,0.0011917341034859419,1e-14
3000,0.0001585288846399635,46066839552.0,0.0006191972643136978,1e-14
4000,0.0001454944140277803,37727293440.0,0.0005227673100307584,1e-14
5000,0.00014625306357629597,38691500032.0,0.0005331680877134204,1e-14
6000,0.00014979454863350838,48801398784.0,0.000637808523606509,1e-14
7000,0.00014343940711114556,36664414208.0,0.0005100835696794093,1e-14
8000,0.00014085140719544142,35920875520.0,0.0005000601522624493,1e-14
9000,0.00014332540740724653,36661358592.0,0.0005099389818497002,1e-14
10000,0.00014123829896561801,35810160640.0,0.000499339890666306,1e-14
11000,0.00014374020975083113,38061944832.0,0.0005243596388027072,1e-14
12000,0.00015052728122100234,44271169536.0,0.0005932389758527279,1e-14
13000,0.0001500427460996434,41000333312.0,0.0005600460572168231,1e-14
14000,0.00014122120046522468,35549626368.0,0.0004967174609191716,1e-14
