Epoch,Collocation Loss,Physics Loss,Total Loss,Alpha,E,Percent Error (E)
0,0.10573381185531616,7001178898432.0,0.17574560642242432,1e-14,"tensor(51923080., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[25.0000]], device='cuda:0')"
1000,0.01403934508562088,647928676352.0,0.020518630743026733,1e-14,"tensor(32932970., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.4302]], device='cuda:0')"
2000,0.014099000953137875,652947881984.0,0.02062848024070263,1e-14,"tensor(32926842., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.4390]], device='cuda:0')"
3000,0.01438615471124649,731919024128.0,0.021705344319343567,1e-14,"tensor(32816858., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.5979]], device='cuda:0')"
4000,0.014004543423652649,635076018176.0,0.020355302840471268,1e-14,"tensor(32937962., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.4229]], device='cuda:0')"
5000,0.09561245143413544,4464417701888.0,0.1402566283941269,1e-14,"tensor(40686980., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[41.2299]], device='cuda:0')"
6000,0.09557092189788818,1831298924544.0,0.11388391256332397,1e-14,"tensor(1686778.8750, device='cuda:0', grad_fn=<MulBackward0>)","tensor([[97.5635]], device='cuda:0')"
7000,0.09521932899951935,112683032576.0,0.0963461622595787,1e-14,"tensor(-32015172., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[146.2441]], device='cuda:0')"
8000,0.09420182555913925,71593271296.0,0.09491775929927826,1e-14,"tensor(-57741588., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[183.4045]], device='cuda:0')"
9000,0.09151532500982285,188662513664.0,0.0934019535779953,1e-14,"tensor(-81284632., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[217.4111]], device='cuda:0')"
10000,0.07807574421167374,1483917361152.0,0.09291491657495499,1e-14,"tensor(-84873576., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[222.5952]], device='cuda:0')"
11000,0.01757439598441124,2093295992832.0,0.038507357239723206,1e-14,"tensor(32449030., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[53.1292]], device='cuda:0')"
12000,0.014237548224627972,778309402624.0,0.022020641714334488,1e-14,"tensor(32765182., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.6725]], device='cuda:0')"
13000,0.014198360964655876,796203286528.0,0.022160394117236137,1e-14,"tensor(32773516., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.6605]], device='cuda:0')"
14000,0.01418906357139349,988876046336.0,0.024077825248241425,1e-14,"tensor(32804502., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.6157]], device='cuda:0')"
15000,0.014064615592360497,697815465984.0,0.02104276977479458,1e-14,"tensor(32811922., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.6050]], device='cuda:0')"
16000,0.013982574455440044,673301856256.0,0.020715592429041862,1e-14,"tensor(32870724., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.5201]], device='cuda:0')"
17000,0.014078771695494652,688730931200.0,0.02096608094871044,1e-14,"tensor(32921720., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.4464]], device='cuda:0')"
18000,0.01400214433670044,623186935808.0,0.020234012976288795,1e-14,"tensor(32937470., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.4236]], device='cuda:0')"
19000,0.014023850671947002,677876531200.0,0.020802615210413933,1e-14,"tensor(32900322., device='cuda:0', grad_fn=<MulBackward0>)","tensor([[52.4773]], device='cuda:0')"
